document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2020-07-26T07:00:00-04:00,DWC:fromLithostratigraphicUnit,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,From Lithostratigraphic Unit,Use to link a dwc:GeologicalContext instance to an IRI-identified lithostratigraphic unit at the lowest possible level in a hierarchy.,"Recommended best practice is to use an IRI from a controlled vocabulary. A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.7 of the Darwin Core RDF Guide for details.",,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:geodeticDatum,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Geodetic Datum (IRI),"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.","Recommended best practice is to use an IRI for the EPSG code of the SRS, if known. Otherwise use an IRI or controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use an IRI or controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",`https://epsg.io/4326`,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:georeferenceProtocol,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Georeference Protocol (IRI),"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:georeferenceSources,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Georeference Sources (IRI),"A map, gazetteer, or other resource used to georeference the Location.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2021-07-27T08:04:18-05:00,DWC:georeferenceVerificationStatus,http://rs.tdwg.org/dwc/iri/,3/27/15,7/15/21,,,,,Georeference Verification Status (IRI),A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the Location of the Occurrence.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:habitat,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Habitat (IRI),A category or description of the habitat in which the Event occurred.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:identificationQualifier,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Identification Qualifier (IRI),A controlled value to express the determiner's doubts about the Identification.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:identificationVerificationStatus,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Identification Verification Status (IRI),A categorical indicator of the extent to which the taxonomic identification has been verified to be correct.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects. Recommended best practice is to use a controlled vocabulary such as that used in HISPID and ABCD.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:inDataset,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,In Dataset,Use to link a subject dataset record to the dataset which contains it.,A string literal name of the dataset can be provided using the term dwc:datasetName. See the Darwin Core RDF Guide for details.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:informationWithheld,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Information Withheld (IRI),"Additional information that exists, but that has not been shared in the given record.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:latestGeochronologicalEra,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Latest Geochronological Era,Use to link a dwc:GeologicalContext instance to chronostratigraphic time periods at the lowest possible level in a standardized hierarchy.   Use this property to point to the latest possible geological time period from which the cataloged item was collected.,"Recommended best practice is to use an IRI from a controlled vocabulary. A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.6 of the Darwin Core RDF Guide for details.",,owl:ObjectProperty,not in ABCD,,,
