document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2017-09-23T06:53:00-05:00,DWC:higherTaxonName,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-08-24,True,http://rs.tdwg.org/dwc/dwcore/HigherTaxon,,,Higher Taxon Name,A list (concatenated and separated) of the names for the taxonomic ranks less specific than that given in the scientificName.,"Example: ""Animalia; Chordata; Vertebrata; Mammalia; Theria; Eutheria; Rodentia; Hystricognatha; Hystricognathi; Ctenomyidae; Ctenomyini; Ctenomys""",,owl:ObjectProperty,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:higherTaxonNameID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-08-24,True,http://rs.tdwg.org/dwc/terms/HigherTaxonID,,,Higher Taxon Name ID,A unique identifier for the name of the next higher rank than the scientificName in a taxonomic classification. See higherTaxonName.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2020-07-26T09:45:40-05:00,DWC:highestBiostratigraphicZone,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://digir.net/schema/conceptual/darwin/extension/paleontology/1.0/HighestBiostratigraphicZone,,,Highest Biostratigraphic Zone,The full name of the highest possible geological biostratigraphic zone of the stratigraphic horizon from which the cataloged item was collected.,,`Blancan`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,simple
2020-07-26T19:35:47-05:00,DWC:HumanObservation,http://rs.tdwg.org/dwc/terms/,2014-10-23,2018-09-06,,http://rs.tdwg.org/dwc/dwctype/HumanObservation,,,Human Observation,An output of a human observation process.,,Evidence of an Occurrence taken from field notes or literature. A record of an Occurrence without physical evidence nor evidence captured with a machine. ,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/HumanObservation,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,extension
2020-07-26T19:35:47-05:00,DWC:Identification,http://rs.tdwg.org/dwc/terms/,2008-11-19,2018-09-06,,,,,Identification,"A taxonomic determination (e.g., the assignment to a taxon).",,A subspecies determination of an organism.,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit/Identifications/Identification,,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15,extension
2017-09-23T06:53:00-05:00,DWC:identificationAttributes,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-10-09,True,,,,Identification Attributes,"A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the Identification.","Example: ""natureOfID=expert identification; identificationEvidence=cytochrome B sequence""",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Identification,,
2020-07-26T09:45:40-05:00,DWC:identificationID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Identification ID,An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.,,`9992`,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Identification,,simple
2020-07-26T09:45:40-05:00,DWC:identificationQualifier,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,http://rs.tdwg.org/dwc/dwcore/IdentificationQualifier,,,Identification Qualifier,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the Identification.",,"`aff. agrifolia var. oxyadenia` (for `Quercus aff. agrifolia var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia`  in specificEpithet, `oxyadenia`  in infraspecificEpithet, and `var.` in taxonRank. `cf. var. oxyadenia` for `Quercus agrifolia cf. var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank.",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/IdentificationQualifier,http://rs.tdwg.org/dwc/terms/Identification,,simple
2020-07-26T09:45:40-05:00,DWC:identificationReferences,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Identification References,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Aves del Noroeste Patagonico. Christie et al. 2004.`, `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`",owl:ObjectProperty,DataSets/DataSet/Units/Unit/Identifications/Identification/References,http://rs.tdwg.org/dwc/terms/Identification,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-30_16,simple
2020-07-26T09:45:40-05:00,DWC:identificationRemarks,http://rs.tdwg.org/dwc/terms/,2009-04-24,2017-10-06,,,,,Identification Remarks,Comments or notes about the Identification.,,`Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.`,owl:ObjectProperty,DataSets/DataSet/Units/Unit/Identifications/Identification/Notes,http://rs.tdwg.org/dwc/terms/Identification,,simple
